NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,ano
Engenharia Ambiental (112282),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.578947368421053,19,3,2014
Matemática (Licenciatura) (99806),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.578947368421052,19,6,2014
Pedagogia (Licenciatura) (13452),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.578947368421052,38,4,2014
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.573529411764706,68,9,2014
Engenharia Elétrica (13438),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.572519083969465,131,7,2014
Geografia (Licenciatura) (13407),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.571428571428572,84,13,2014
História (Licenciatura) (13405),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.567796610169491,118,14,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.5625,16,5,2014
Geografia (Licenciatura) (120777),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.5576923076923075,52,7,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.555555555555556,18,6,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.555555555555556,18,3,2014
História (Licenciatura) (13449),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.555555555555555,90,9,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.555555555555555,18,5,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.555555555555555,18,1,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.555555555555555,18,5,2014
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.553846153846154,65,8,2014
NA (13450),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.551724137931035,29,10,2014
História (Licenciatura) (13405),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.551724137931034,116,11,2014
Engenharia Ambiental (112282),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.55,20,8,2014
Engenharia Ambiental (112282),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.549999999999999,20,4,2014
Geografia (Licenciatura) (13407),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.5476190476190474,84,12,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,5.545454545454545,22,2,2014
Química (Licenciatura) (99808),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.541666666666667,24,9,2014
Química (Licenciatura) (99808),UFCG,PB,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,5.541666666666667,24,1,2014
NA (13420),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.538461538461538,26,5,2014
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.537037037037037,54,7,2014
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.536231884057971,69,11,2014
Geografia (Licenciatura) (120777),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.535714285714286,56,6,2014
Geografia (Licenciatura) (13407),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.535714285714286,84,10,2014
História (Licenciatura) (13405),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.533898305084746,118,10,2014
Letras-Português (Licenciatura) (1160083),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.529411764705882,17,6,2014
Engenharia de Alimentos (112294),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.527777777777778,36,6,2014
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.527272727272727,55,11,2014
Pedagogia (Licenciatura) (13452),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.526315789473684,38,5,2014
Pedagogia (Licenciatura) (13410),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.524193548387097,124,8,2014
Matemática (Licenciatura) (99806),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.523809523809524,21,12,2014
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,5.521739130434783,23,2,2014
História (Licenciatura) (13405),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.521367521367521,117,13,2014
NA (13420),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.52,25,4,2014
